job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
special education teacher,0.0,0.3038,0.0691,0.0148,0.6294,0.9297,0.9851,0.0668,0.0012,3.8509017485921504e-07,0.00014398409985005856,0.009551620110869408,1.718109160719905e-05,3.559872493497096e-05,3.778852487812401e-06,1.7811257748689968e-06,2.3959360987646505e-05,3.1500544395157704e-08
police officer,0.0001,0.8303,0.5546,0.0024,0.1057,0.4312,0.9975,0.064,0.0142,1.1593530189202284e-06,2.993525777128525e-05,0.012370874173939228,7.654629735043272e-05,9.747968761075754e-06,5.899734787817579e-06,1.3658267562277615e-05,1.0620284228934906e-05,3.5069959380962246e-07
taxi driver,0.0001,0.8146,0.6087,0.0024,0.1201,0.3877,0.9974,0.0653,0.0036,1.291763510380406e-06,2.364552710787393e-05,0.009716306813061237,7.262215513037518e-05,1.070950020221062e-05,5.819279067509342e-06,1.020465151668759e-05,6.500342351500876e-06,6.05962640065627e-08
computer architect,0.0,0.6834,0.4236,0.002,0.2615,0.5695,0.998,0.0551,0.007,1.2887087450508261e-06,5.3656298405257985e-05,0.02687421813607216,5.9588295698631555e-05,2.280638182128314e-05,4.803950105269905e-06,2.4644474251545034e-05,3.313292472739704e-05,4.0565234371570114e-07
mechanical engineer,0.0,0.7353,0.4404,0.0015,0.2018,0.5523,0.9985,0.0629,0.0073,9.559119007462868e-07,3.196415491402149e-05,0.02191048674285412,6.198405026225373e-05,1.701649307506159e-05,5.302360477799084e-06,1.6965126633294858e-05,2.12780614674557e-05,2.810378703088645e-07
truck driver,0.0002,0.8473,0.8496,0.0013,0.1031,0.146,0.9986,0.0496,0.0044,1.3916610441810917e-06,1.0287612894899212e-05,0.008063924498856068,7.804499909980223e-05,9.493537618254777e-06,4.566741154121701e-06,1.0178190677834209e-05,1.749365878822573e-06,5.288151427862431e-08
electrical engineer,0.0,0.7642,0.4456,0.0015,0.1856,0.549,0.9984,0.0502,0.0055,1.0189950216954458e-06,3.193401062162593e-05,0.020894430577754974,6.652949377894402e-05,1.615714245417621e-05,4.3722557165892795e-06,1.5743049516458996e-05,1.939725552801974e-05,1.9336361845034844e-07
landscaping worker,0.0,0.6412,0.2558,0.0075,0.2862,0.7383,0.9924,0.0726,0.0059,6.596708317374578e-07,0.00012263601820450276,0.016148405149579048,4.195455039734952e-05,1.8724051187746227e-05,4.752275799546624e-06,7.5884263424086384e-06,2.189861515944358e-05,1.7493213988473144e-07
pilot,0.0001,0.6748,0.1692,0.0055,0.2601,0.8282,0.9944,0.0651,0.0026,1.113134999286558e-06,8.601846639066935e-05,0.015605565160512924,5.143730959389359e-05,1.9826311472570524e-05,4.965373136656126e-06,7.589036158606177e-06,3.713801197591238e-05,1.1639800590046434e-07
repair worker,0.0,0.6249,0.2995,0.0039,0.2934,0.69,0.996,0.0817,0.0105,9.756217878020834e-07,9.837024117587134e-05,0.024959847331047058,5.173906174604781e-05,2.429257074254565e-05,6.7648725234903395e-06,8.841258932079654e-06,2.0367959223221987e-05,3.1013593115858384e-07
firefighter,0.0,0.7924,0.5857,0.0013,0.1476,0.392,0.9987,0.0599,0.0223,1.0387353768237517e-06,2.6918820367427543e-05,0.021111857146024704,6.359029066516086e-05,1.1846057532238774e-05,4.808860467164777e-06,2.0936340661137365e-05,1.4011025086801965e-05,7.967630040184304e-07
construction worker,0.0001,0.6177,0.3637,0.0041,0.3072,0.6305,0.9959,0.0751,0.0058,1.1651984550553607e-06,6.157481402624398e-05,0.01513344794511795,4.589807576849125e-05,2.2826139684184454e-05,5.578528543992434e-06,9.155159204965457e-06,1.5867890397203155e-05,1.4603681108837918e-07
machinist,0.0,0.6367,0.371,0.0022,0.2724,0.6123,0.9978,0.0909,0.0167,1.0924087519015302e-06,7.343891775235534e-05,0.0332682840526104,5.000644159736112e-05,2.139294520020485e-05,7.137802640500013e-06,1.3242615750641562e-05,2.1854213628103025e-05,5.94952098253998e-07
aircraft mechanic,0.0001,0.8393,0.5311,0.0042,0.1095,0.466,0.9957,0.0512,0.0028,1.0532023679843405e-06,3.0186987714841962e-05,0.007232268340885639,8.537487883586437e-05,1.1141987670271192e-05,5.210444214753807e-06,1.0869041034311522e-05,9.5369487098651e-06,5.776243128252645e-08
carpenter,0.0,0.7842,0.6481,0.0006,0.1438,0.3288,0.9994,0.072,0.023,1.1022991657227976e-06,1.7856567865237594e-05,0.029661154374480247,6.648830458289012e-05,1.218961551785469e-05,6.106452474341495e-06,1.6701582353562117e-05,8.473512934870087e-06,5.938048843745491e-07
roofer,0.0001,0.648,0.2497,0.0044,0.2876,0.7434,0.9955,0.0645,0.007,1.6350579699064838e-06,7.920699135866016e-05,0.017719468101859093,5.233577030594461e-05,2.3225273253046907e-05,5.207704361964716e-06,8.95949051482603e-06,2.66765637206845e-05,2.4972683831947506e-07
brickmason,0.0002,0.6991,0.5616,0.0023,0.2417,0.4308,0.9975,0.0593,0.0076,2.1042098978796275e-06,3.214357639080845e-05,0.013733393512666225,6.607057002838701e-05,2.283999856445007e-05,5.6020526244537905e-06,1.784784035407938e-05,1.3690575542568695e-05,2.425496461455623e-07
plumber,0.0001,0.7419,0.7861,0.0004,0.1664,0.1876,0.9995,0.0917,0.0263,1.2501643595896894e-06,9.673471140558831e-06,0.022572409361600876,5.990102363284677e-05,1.3436886547424365e-05,7.40618725103559e-06,1.846442864916753e-05,4.405169875099091e-06,6.178744911267131e-07
electrician,0.0001,0.74,0.3731,0.0022,0.1952,0.6217,0.9977,0.0648,0.0052,1.2964645748070325e-06,3.687021671794355e-05,0.01677599735558033,5.7133929658448324e-05,1.5068232642079238e-05,5.005044386052759e-06,1.0262175237585325e-05,1.7099850083468482e-05,1.4177233254031307e-07
vehicle technician,0.0001,0.7287,0.3991,0.0035,0.2093,0.5872,0.9964,0.062,0.0137,1.21318191759201e-06,6.732062320224941e-05,0.01892280764877796,6.642935477430001e-05,1.9075941963819787e-05,5.653397238347679e-06,1.3605208550870884e-05,2.0019791918457486e-05,4.669889221986523e-07
crane operator,0.0001,0.789,0.6275,0.0011,0.1498,0.3535,0.9988,0.0612,0.019,1.2802960327462642e-06,1.597926348040346e-05,0.01434019673615694,7.305928011192009e-05,1.3866589142708108e-05,5.665709977620281e-06,1.5663395970477723e-05,8.822776180750225e-06,4.740954864246305e-07
