job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
interior designer,0.0,0.6598,0.2941,0.0005,0.2769,0.6927,0.9995,0.0633,0.0132,8.552598842470616e-07,2.9490123779396527e-05,0.06420368701219559,5.0398215535096824e-05,2.114998278557323e-05,4.838931999984197e-06,2.7508789571584202e-05,6.479777948698029e-05,1.2314563946347334e-06
manicurist,0.0,0.6715,0.2346,0.0028,0.2729,0.7609,0.9972,0.0556,0.0045,6.653107789134083e-07,7.965348777361214e-05,0.028366394340991974,4.343432738096453e-05,1.76492212631274e-05,3.5967259464086965e-06,6.972913524805335e-06,2.2614358385908417e-05,1.3380979169141938e-07
special education teacher,0.0,0.4304,0.0603,0.013,0.5277,0.9389,0.987,0.0419,0.0008,3.3411902222724166e-07,0.0001584427955094725,0.01207183487713337,2.8982323783566244e-05,3.553102214937098e-05,2.818518169078743e-06,2.129435415554326e-06,3.316163565614261e-05,2.81792154055438e-08
police officer,0.0001,0.9346,0.677,0.0007,0.0379,0.3138,0.9992,0.0275,0.0092,1.256487053069577e-06,1.0943363122351002e-05,0.015097529627382755,0.00013570065493695438,5.498236077983165e-06,3.996227405878017e-06,1.4375883438333403e-05,6.663612111879047e-06,1.9457043265447282e-07
taxi driver,0.0001,0.9347,0.7848,0.0006,0.0394,0.2115,0.9992,0.0259,0.0037,1.3833345064995228e-06,7.737668056506664e-06,0.011953168548643589,0.00013497228792402893,5.684925326931989e-06,3.741086857189657e-06,1.142522432928672e-05,3.079283260376542e-06,5.35570663373619e-08
computer architect,0.0,0.8644,0.4944,0.0009,0.1139,0.4986,0.9991,0.0217,0.007,1.104171474253235e-06,2.403898542979732e-05,0.026890506967902184,0.00010945043322863057,1.4429027032747399e-05,2.746526206465205e-06,3.192356962244958e-05,3.2193591323448345e-05,4.5491734113056737e-07
mechanical engineer,0.0,0.8965,0.5047,0.0005,0.0789,0.486,0.9995,0.0246,0.0093,8.242146805059747e-07,1.1994409760518465e-05,0.024729639291763306,0.00010340801236452535,9.10669859877089e-06,2.837312649717205e-06,1.986488132388331e-05,1.9130415239487775e-05,3.656690807929408e-07
truck driver,0.0002,0.9557,0.9175,0.0004,0.0267,0.0782,0.9995,0.0175,0.0043,1.5427650623678346e-06,3.623066731961444e-06,0.01011432521045208,0.00015498964057769626,4.334302957431646e-06,2.8449783258110983e-06,1.1255066056037322e-05,9.593419463271857e-07,5.285047421921263e-08
electrical engineer,0.0,0.9121,0.5286,0.0006,0.0697,0.466,0.9994,0.0182,0.0053,8.63548223151156e-07,1.1453916158643551e-05,0.019510645419359207,0.00011103470751550049,8.486506885674316e-06,2.2106983124103863e-06,1.751992203935515e-05,1.5445242752321064e-05,1.7698451415526506e-07
landscaping worker,0.0,0.8588,0.3894,0.0025,0.1151,0.6052,0.9975,0.0261,0.0054,8.958733701547317e-07,5.352979860617779e-05,0.021551353856921196,8.160883589880541e-05,1.0935053978755604e-05,2.4844218842190458e-06,1.2665987014770508e-05,1.968658216355834e-05,1.7523758799598e-07
pilot,0.0001,0.8699,0.1849,0.0017,0.1034,0.8132,0.9982,0.0267,0.0019,1.4383292636921396e-06,2.0359908376121894e-05,0.012143801897764206,9.591125854058191e-05,1.1398822607588954e-05,2.940711965493392e-06,1.0093125638377387e-05,4.437931420397945e-05,1.0151189400176008e-07
repair worker,0.0,0.8359,0.3773,0.0025,0.1331,0.6148,0.9975,0.0311,0.0078,1.0903631846304052e-06,6.844336894573644e-05,0.027602337300777435,0.00011148951307404786,1.7746302546584047e-05,4.142112629779149e-06,1.2791987501259428e-05,2.0844074242631905e-05,2.650561157224729e-07
firefighter,0.0,0.9146,0.6468,0.0004,0.0637,0.3366,0.9996,0.0217,0.0166,1.0167702839680715e-06,9.231107469531707e-06,0.024555783718824387,0.00010235334048047662,7.1280146585195325e-06,2.426443415970425e-06,1.9844164853566326e-05,1.0328452844987623e-05,5.091562229608826e-07
construction worker,0.0001,0.8482,0.5176,0.0012,0.1235,0.4765,0.9987,0.0283,0.0059,1.093990931622102e-06,2.2733605874236673e-05,0.01852954551577568,8.929739851737395e-05,1.2998489182791673e-05,2.9774828362860717e-06,1.132642682932783e-05,1.0427629604237154e-05,1.2820125050438946e-07
machinist,0.0,0.7853,0.3684,0.001,0.1698,0.6178,0.999,0.045,0.0139,8.865592349138751e-07,3.152721910737455e-05,0.031938474625349045,6.810239574406296e-05,1.472233452659566e-05,3.901208856404992e-06,1.3780804692942183e-05,2.3111453629098833e-05,5.198832013775245e-07
aircraft mechanic,0.0002,0.9472,0.6956,0.0016,0.0367,0.3021,0.9982,0.0161,0.0023,1.1823893828477594e-06,1.1029793313355185e-05,0.0069618565030395985,0.0001638293033465743,6.347894213831751e-06,2.7862108709086897e-06,1.210290429298766e-05,5.256677468423732e-06,4.0499113396208486e-08
carpenter,0.0,0.9308,0.7637,0.0002,0.0464,0.2174,0.9997,0.0228,0.0189,9.430746104044374e-07,7.806774192431476e-06,0.03191409260034561,0.00011122688738396391,5.544593477679882e-06,2.7300281999487197e-06,2.0943665731465444e-05,5.961764600215247e-06,5.175027126824716e-07
roofer,0.0001,0.8468,0.3401,0.0015,0.1294,0.6545,0.9984,0.0239,0.0055,1.5739236687295488e-06,2.6135896405321546e-05,0.016883965581655502,9.008974302560091e-05,1.376478758174926e-05,2.5401759558008052e-06,1.1784099115175195e-05,2.2677737433696166e-05,1.8954879976718075e-07
brickmason,0.0002,0.9048,0.7153,0.001,0.0771,0.2776,0.9989,0.0181,0.0071,2.3153827442001784e-06,1.4229177395463921e-05,0.01451211515814066,0.00015899557911325246,1.355676977254916e-05,3.1792003483133158e-06,1.8079110304825008e-05,7.016696599748684e-06,1.8067508733565774e-07
plumber,0.0,0.8967,0.8365,0.0001,0.0719,0.1303,0.9998,0.0314,0.0331,9.892555681290105e-07,3.6808623917750083e-06,0.0264214426279068,9.883094753604382e-05,7.928360901132692e-06,3.455778596617165e-06,1.7705309801385738e-05,2.758481286946335e-06,7.009741125330038e-07
electrician,0.0001,0.8929,0.4137,0.001,0.0799,0.5824,0.9989,0.0272,0.0039,1.0365974958403967e-06,1.820251054596156e-05,0.01799163781106472,9.122464689426124e-05,8.162890480889473e-06,2.7769867756433086e-06,1.0872321581700817e-05,1.530286499473732e-05,1.0243635983897548e-07
vehicle technician,0.0001,0.8825,0.4224,0.0025,0.0967,0.5674,0.9975,0.0207,0.0102,1.352601316284563e-06,5.7069104514084756e-05,0.02297559194266796,0.0001416306768078357,1.552312824060209e-05,3.3264154808421154e-06,2.0727426090161316e-05,2.784693606372457e-05,5.004671947972383e-07
crane operator,0.0001,0.9347,0.7956,0.0003,0.0431,0.185,0.9996,0.0222,0.0195,1.222208766193944e-06,5.215013061388163e-06,0.018140174448490143,0.00014374413876794279,6.629082236031536e-06,3.410380941204494e-06,1.7429094441467896e-05,4.052584699820727e-06,4.264327628789033e-07
