job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
interior designer,0.0,0.7082,0.2734,0.0004,0.2381,0.7159,0.9996,0.0537,0.0108,4.611736414972256e-07,2.9403379812720232e-05,0.07879247516393661,4.185461511951871e-05,1.4072907106310595e-05,3.1741969905851875e-06,2.742923425103072e-05,7.182556873885915e-05,1.0802870065163006e-06
manicurist,0.0,0.6769,0.2362,0.0023,0.2672,0.7602,0.9977,0.0559,0.0036,3.7298076449587825e-07,6.256703636609018e-05,0.02734409086406231,3.105104042333551e-05,1.2257751222932711e-05,2.563529278631904e-06,6.788623068132438e-06,2.1853171347174793e-05,1.0402308703305607e-07
special education teacher,0.0,0.5083,0.0791,0.0092,0.4529,0.92,0.9907,0.0388,0.0009,2.0675213363574585e-07,0.0001172789343399927,0.012566761113703251,2.6193300072918646e-05,2.3338074242928997e-05,2.001677785301581e-06,2.359489826631034e-06,2.743402546911966e-05,2.561062473205311e-08
police officer,0.0,0.9352,0.6608,0.0008,0.0397,0.3306,0.9991,0.0251,0.0086,7.140031925700896e-07,1.2303741641517263e-05,0.015205930918455124,9.323685662820935e-05,3.960218236898072e-06,2.504853455320699e-06,1.4959230611566454e-05,7.4841354944510385e-06,1.943487575317704e-07
taxi driver,0.0001,0.927,0.7605,0.0008,0.05,0.2368,0.9991,0.023,0.0027,7.698611739215266e-07,8.240494935307652e-06,0.010166550055146217,8.865071140462533e-05,4.7782787078176625e-06,2.1985647435940336e-06,1.1533829820109531e-05,3.591735776353744e-06,4.022180988272339e-08
computer architect,0.0,0.8765,0.458,0.0006,0.1009,0.5356,0.9994,0.0226,0.0063,6.634605824729078e-07,1.9596172933233902e-05,0.03382834792137146,8.236675785155967e-05,9.481689630774781e-06,2.1218904748820933e-06,2.9071168683003634e-05,3.399723573238589e-05,4.018583297238365e-07
mechanical engineer,0.0,0.9022,0.4881,0.0004,0.073,0.5042,0.9996,0.0248,0.0076,4.839085363528284e-07,1.1694371096382383e-05,0.02914387360215187,8.037632505875081e-05,6.501947154902155e-06,2.209207877967856e-06,1.9295726815471426e-05,1.9932251234422438e-05,3.0195641897989844e-07
truck driver,0.0001,0.9506,0.8765,0.0005,0.0339,0.1201,0.9994,0.0155,0.0034,8.620804123893322e-07,4.169688963884255e-06,0.00904074963182211,0.00010555245535215363,3.7658414839825127e-06,1.718480802992417e-06,1.1284491847618483e-05,1.5461235989278066e-06,4.390367180917565e-08
electrical engineer,0.0,0.9201,0.4939,0.0005,0.0627,0.5015,0.9995,0.0172,0.0046,5.148125978848839e-07,1.0400735845905729e-05,0.02199127897620201,8.706533844815567e-05,5.929302005824866e-06,1.6305814369843574e-06,1.6925800082390197e-05,1.71846058947267e-05,1.5714577727976575e-07
landscaping worker,0.0,0.8565,0.339,0.0033,0.1199,0.6571,0.9967,0.0236,0.0039,4.840673000217066e-07,6.051546006347053e-05,0.01819482631981373,6.120514444774017e-05,8.5667816165369e-06,1.6835049336805241e-06,1.1496715160319582e-05,2.228358425782062e-05,1.3059414527560875e-07
pilot,0.0001,0.8661,0.2158,0.0019,0.1072,0.7818,0.998,0.0267,0.0024,8.022096835702541e-07,2.6758778403745964e-05,0.013757089152932167,7.039365300443023e-05,8.71386600920232e-06,2.1692512746085413e-06,9.25964104681043e-06,3.3544278267072514e-05,1.0224719915186142e-07
repair worker,0.0,0.8328,0.3787,0.0026,0.1378,0.6152,0.9974,0.0294,0.0061,5.981523827358615e-07,6.751484761480242e-05,0.026207176968455315,7.842325430829078e-05,1.2975902791367844e-05,2.7718922410713276e-06,1.2705579138128087e-05,2.0641766241169535e-05,2.0479858164890175e-07
firefighter,0.0,0.9096,0.6533,0.0004,0.0694,0.3284,0.9996,0.0211,0.0183,5.94230073147628e-07,9.942340511770453e-06,0.02776101790368557,7.56470108171925e-05,5.77032869841787e-06,1.7521607560411212e-06,1.9218212401028723e-05,9.660870091465767e-06,5.377348202273424e-07
construction worker,0.0,0.8372,0.4753,0.0014,0.1371,0.5193,0.9986,0.0257,0.0055,6.308559932222124e-07,2.6328329113312066e-05,0.01933387480676174,6.426472828024998e-05,1.0520424439164344e-05,1.9761562271014554e-06,1.1806345355580561e-05,1.2899636203655973e-05,1.3613910709864285e-07
machinist,0.0,0.8151,0.3883,0.0007,0.1494,0.5958,0.9993,0.0355,0.0159,5.387393571254506e-07,2.8643495170399547e-05,0.04027154669165611,5.573087400989607e-05,1.0212105735263322e-05,2.4264390958705917e-06,1.5039171557873487e-05,2.3077145669958554e-05,6.16446016010741e-07
aircraft mechanic,0.0001,0.9483,0.6675,0.0014,0.0364,0.3304,0.9985,0.0153,0.0022,6.637849878643465e-07,8.99152200872777e-06,0.006291991099715233,0.0001115749983000569,4.286347575543914e-06,1.8014891338680172e-06,1.1264199201832525e-05,5.575502200372284e-06,3.6679836057373905e-08
carpenter,0.0,0.9299,0.7385,0.0002,0.0476,0.2436,0.9998,0.0225,0.0179,5.134185698807414e-07,6.332310931611573e-06,0.037588831037282944,7.726382318651304e-05,3.957660283049336e-06,1.8683540474739857e-06,1.966714989976026e-05,6.4870719143073075e-06,4.771982844431477e-07
roofer,0.0001,0.8241,0.2972,0.0019,0.1536,0.6982,0.998,0.0224,0.0046,9.419528623766382e-07,3.1462801416637376e-05,0.01644928753376007,5.860851160832681e-05,1.0922348337771837e-05,1.5903862049526651e-06,1.028735550789861e-05,2.4164233764167875e-05,1.597510106421396e-07
brickmason,0.0001,0.904,0.6794,0.0007,0.0786,0.3132,0.9992,0.0174,0.0074,1.1591463362492505e-06,9.86487248155754e-06,0.014386272057890892,9.714328189147636e-05,8.443975275440607e-06,1.8691296190809226e-06,1.6452413547085598e-05,7.583264050481375e-06,1.795084187961038e-07
plumber,0.0,0.894,0.8411,0.0001,0.0752,0.1319,0.9999,0.0308,0.027,5.575906811827736e-07,2.605522468002164e-06,0.0267845019698143,6.79523145663552e-05,5.71746477362467e-06,2.342686457268428e-06,1.7815416867961176e-05,2.7943128770857584e-06,5.71139764815598e-07
electrician,0.0,0.9017,0.4388,0.0006,0.0729,0.5572,0.9993,0.0254,0.004,6.138662342891621e-07,1.2523617442639079e-05,0.01964608207345009,6.739063246641308e-05,5.4444194574898575e-06,1.898846107906138e-06,1.1248995178902987e-05,1.4282472875493113e-05,1.02132105439523e-07
vehicle technician,0.0,0.8993,0.4039,0.0019,0.0808,0.5864,0.9981,0.0198,0.0098,7.754152875349973e-07,4.3872514652321115e-05,0.022924352437257767,0.00010434105934109539,9.37825461733155e-06,2.300731466675643e-06,1.7836997358244844e-05,2.5898874810081907e-05,4.3109147895847855e-07
crane operator,0.0,0.9315,0.747,0.0003,0.0481,0.2351,0.9997,0.0204,0.0179,6.72976625537558e-07,4.464885023480747e-06,0.01758994348347187,9.971966937882826e-05,5.15182136950898e-06,2.1846160507266177e-06,1.7662767277215607e-05,5.558472366828937e-06,4.2230024632772256e-07
