job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
library assistant,0.0,0.6182,0.0348,0.0204,0.3595,0.9644,0.9796,0.0223,0.0007,3.4402771120767284e-07,0.0001646119198994711,0.007901488803327084,4.483253360376693e-05,2.6067718863487244e-05,1.6164889302672236e-06,1.349923536508868e-06,3.736641883733682e-05,2.8040505029025553e-08
interior designer,0.0,0.794,0.2997,0.0009,0.1734,0.6924,0.9991,0.0326,0.0079,8.343486683770607e-07,3.7566071114270017e-05,0.042987216264009476,6.31072762189433e-05,1.378331126034027e-05,2.588543111414765e-06,2.124494858435355e-05,4.9081929319072515e-05,5.590762839347008e-07
manicurist,0.0,0.6926,0.1933,0.0044,0.2705,0.8039,0.9955,0.037,0.0028,6.225191668818297e-07,8.730111585464329e-05,0.019573472440242767,4.1950181184802204e-05,1.638486901356373e-05,2.238425850009662e-06,5.577902356890263e-06,2.3200867872219533e-05,8.204945345369197e-08
special education teacher,0.0,0.5573,0.0885,0.0128,0.4098,0.9108,0.9871,0.033,0.0007,3.745778371921915e-07,0.0001346656063105911,0.010350972414016724,3.7724876165157184e-05,2.773901360342279e-05,2.232950691904989e-06,2.3339052859228104e-06,2.401928577455692e-05,1.9014493091162876e-08
police officer,0.0001,0.9556,0.726,0.001,0.0271,0.2676,0.9989,0.0173,0.0064,1.3054060445938376e-06,1.0068140909424983e-05,0.010220661759376526,0.00012095592683181167,3.4286385925952345e-06,2.186470055676182e-06,1.5072550922923256e-05,5.555848929361673e-06,1.338861750355136e-07
taxi driver,0.0002,0.9546,0.8532,0.0007,0.0282,0.1441,0.9991,0.0173,0.0027,1.319210355177347e-06,5.1400588745309506e-06,0.007464644033461809,0.00011908289889106527,3.51295898326498e-06,2.1523821942537325e-06,1.2238938325026538e-05,2.0673583094321657e-06,3.898448142081179e-08
computer architect,0.0001,0.91,0.4518,0.0011,0.0755,0.5418,0.9988,0.0145,0.0064,1.2595351108757313e-06,2.295098965987563e-05,0.020935524255037308,0.00011064774298574775,9.177250831271522e-06,1.7655156625551172e-06,2.3386057364405133e-05,2.8042881240253337e-05,3.336172653689573e-07
mechanical engineer,0.0,0.9301,0.4404,0.0008,0.0541,0.5532,0.9991,0.0159,0.0064,8.365102530660806e-07,1.424576657882426e-05,0.01684034988284111,0.00010962663509417325,6.372181360347895e-06,1.8693825722948532e-06,1.4856434972898569e-05,1.8664164599613287e-05,2.1490005508439936e-07
truck driver,0.0002,0.9637,0.927,0.0004,0.0227,0.0702,0.9994,0.0136,0.0028,1.4326445807455457e-06,2.454063860568567e-06,0.00649499986320734,0.00012954484554938972,3.0486955893138656e-06,1.833338046708377e-06,1.1177818123542238e-05,8.464954817100079e-07,3.4163289086563964e-08
electrical engineer,0.0001,0.9444,0.4378,0.001,0.0435,0.5577,0.999,0.012,0.0046,9.059892249752011e-07,1.4526965969707817e-05,0.015242806635797024,0.00012068384239682928,5.5646710279688705e-06,1.5375622979263426e-06,1.3990945262776222e-05,1.782220533641521e-05,1.4582158769371745e-07
landscaping worker,0.0001,0.904,0.3823,0.004,0.0787,0.6146,0.996,0.0174,0.0031,7.991287134245795e-07,5.961096394457854e-05,0.014859266579151154,8.767464896664023e-05,7.630825166415889e-06,1.6838837382238125e-06,1.2253770364623051e-05,1.969834374904167e-05,9.986661808625286e-08
pilot,0.0001,0.9107,0.2733,0.0025,0.0702,0.7251,0.9974,0.0191,0.0016,1.241381028194155e-06,2.480213515809737e-05,0.010050269775092602,9.247348498320207e-05,7.128722700144863e-06,1.9355484255356714e-06,1.0660935913620051e-05,2.8283509891480207e-05,6.360298243635043e-08
repair worker,0.0001,0.8957,0.4079,0.0034,0.083,0.588,0.9965,0.0213,0.0041,1.1964945088038803e-06,6.180072523420677e-05,0.0180027037858963,0.00010935621685348451,1.013128348859027e-05,2.5974068194045685e-06,1.291664557356853e-05,1.8618780813994817e-05,1.2984908437374543e-07
firefighter,0.0001,0.9418,0.6688,0.0005,0.0422,0.3157,0.9994,0.0161,0.0154,1.1605875442910474e-06,9.623338883102406e-06,0.018794305622577667,0.00010309777280781418,4.615196758095408e-06,1.7573801187609206e-06,1.90254704648396e-05,8.981238352134824e-06,4.3852426756529894e-07
construction worker,0.0001,0.8939,0.5088,0.0015,0.0858,0.4873,0.9985,0.0203,0.0039,1.1443445373515715e-06,2.048742499027867e-05,0.01400180347263813,9.307466825703159e-05,8.933739991334733e-06,2.108425860569696e-06,1.2125099601689726e-05,1.161185537057463e-05,9.314446458574821e-08
machinist,0.0,0.853,0.3308,0.0015,0.1184,0.6572,0.9985,0.0286,0.012,9.64465016295435e-07,4.561692549032159e-05,0.031048456206917763,8.144920866470784e-05,1.1302275197522249e-05,2.7339251573721413e-06,1.1368299965397455e-05,2.2586840714211576e-05,4.139734244290594e-07
aircraft mechanic,0.0002,0.9619,0.6781,0.0015,0.0249,0.3193,0.9984,0.0132,0.0026,1.0313842722098343e-06,8.5574965851265e-06,0.005849286913871765,0.00013726146426051855,3.551091594999889e-06,1.8830663748303778e-06,1.0176622708968353e-05,4.792155777977314e-06,3.895367228778923e-08
carpenter,0.0,0.9509,0.7707,0.0002,0.0318,0.2131,0.9997,0.0173,0.0162,1.0138284096683492e-06,6.027280505804811e-06,0.02424716204404831,9.401172428624704e-05,3.147615643683821e-06,1.709841058072925e-06,1.9084363884758204e-05,5.277143827697728e-06,4.009571057395078e-07
roofer,0.0001,0.8967,0.3364,0.0018,0.0862,0.659,0.998,0.0171,0.0046,1.779772333065921e-06,2.535586645535659e-05,0.013678745366632938,8.592924132244661e-05,8.257837180281058e-06,1.6398936395489727e-06,1.1177489795954898e-05,2.189765655202791e-05,1.5244967244143481e-07
brickmason,0.0002,0.9341,0.7011,0.0008,0.0513,0.2929,0.999,0.0146,0.006,1.9041754057980143e-06,8.438231816398911e-06,0.010811345651745796,0.00012563267955556512,6.898426818224834e-06,1.9617698399088113e-06,1.6147521819220856e-05,6.746146482328186e-06,1.391991304444673e-07
plumber,0.0001,0.9271,0.866,0.0002,0.0504,0.1213,0.9997,0.0225,0.0127,1.1344116046529962e-06,3.1853248856350547e-06,0.015176256187260151,8.566075121052563e-05,4.661006187234307e-06,2.079352725559147e-06,1.6432788470410742e-05,2.3016145860310644e-06,2.406858641279541e-07
electrician,0.0001,0.9319,0.4245,0.0008,0.0496,0.5709,0.9992,0.0186,0.0046,1.1221586646570358e-06,1.3552305972552858e-05,0.017599469050765038,9.360455442219973e-05,4.978452125214972e-06,1.865627609731746e-06,1.0151276001124643e-05,1.3651074368681293e-05,1.108799310145514e-07
vehicle technician,0.0001,0.9386,0.4061,0.0025,0.047,0.5865,0.9974,0.0144,0.0074,1.3497869986167643e-06,3.928197838831693e-05,0.01539275236427784,0.00014099852705840021,7.055125024635345e-06,2.16913008443953e-06,1.494337720941985e-05,2.1585796275758184e-05,2.725992374053021e-07
crane operator,0.0001,0.9524,0.825,0.0003,0.0307,0.162,0.9996,0.0169,0.013,1.277028673030145e-06,4.350164090283215e-06,0.012867918238043785,0.0001326095371041447,4.26832411903888e-06,2.3560778572573327e-06,1.700779830571264e-05,3.340102921356447e-06,2.684102753391926e-07
