job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
maid,0.0,0.2544,0.0057,0.0125,0.7031,0.994,0.9875,0.0425,0.0003,8.424125041983643e-08,9.380505798617378e-05,0.007425412535667419,7.589885626657633e-06,2.098002369166352e-05,1.2674104254983831e-06,2.1770742364424223e-07,3.8115420466056094e-05,1.141966787798765e-08
therapist,0.0,0.7234,0.0574,0.002,0.2403,0.9418,0.998,0.0363,0.0008,4.816362775272864e-07,4.471266220207326e-05,0.02259138412773609,3.0303453968372196e-05,1.0065249625768047e-05,1.519184934295481e-06,4.199430804874282e-06,6.886370101710781e-05,5.8765024846252345e-08
social worker,0.0,0.6216,0.0173,0.0021,0.3392,0.982,0.9978,0.0392,0.0007,3.249877238431509e-07,7.635301153641194e-05,0.03549300879240036,3.000995457114186e-05,1.6379239241359755e-05,1.8920750335382763e-06,1.7294565850534127e-06,9.800623229239136e-05,6.788605588781138e-08
sewer,0.0,0.7922,0.0463,0.0004,0.1759,0.9513,0.9996,0.0319,0.0024,3.8184521145012695e-07,5.779495040769689e-06,0.016405655071139336,5.51540324522648e-05,1.2247518498043064e-05,2.2208616883290233e-06,5.464200057758717e-06,0.00011217505380045623,2.8301312227085873e-07
paralegal,0.0,0.8403,0.0687,0.0013,0.1226,0.929,0.9986,0.0371,0.0024,5.245812531029515e-07,3.291601751698181e-05,0.02459372580051422,4.316561535233632e-05,6.298720109043643e-06,1.9038425307371654e-06,3.492690211714944e-06,4.725476901512593e-05,1.2059409471021354e-07
library assistant,0.0,0.5566,0.0152,0.0086,0.4101,0.9844,0.9913,0.0333,0.0004,1.3918673857915564e-07,9.853619121713564e-05,0.011298362165689468,2.3846676413086243e-05,1.7571099306223914e-05,1.426259814252262e-06,7.253762532855035e-07,4.697735857916996e-05,1.9462028433281375e-08
interior designer,0.0,0.6987,0.1169,0.0005,0.2518,0.879,0.9995,0.0494,0.0041,4.619195124178077e-07,2.35431180044543e-05,0.044049717485904694,3.1646686693420634e-05,1.1406188605178613e-05,2.238245770058711e-06,1.2989548849873245e-05,9.763117850525305e-05,4.553761527859024e-07
manicurist,0.0,0.7103,0.0962,0.0019,0.2477,0.902,0.998,0.042,0.0019,4.598375085151929e-07,4.9556358135305345e-05,0.025580894201993942,2.9172411814215593e-05,1.017149133986095e-05,1.726621462694311e-06,4.206112407700857e-06,3.9452992496080697e-05,8.189296352156816e-08
special education teacher,0.0,0.4604,0.0253,0.0057,0.4972,0.9743,0.9943,0.0423,0.0004,2.0706930570213444e-07,8.425459964200854e-05,0.014748738147318363,1.7788614059099928e-05,1.921149123518262e-05,1.635771354813187e-06,1.2082150533387903e-06,4.6557084715459496e-05,1.869448951197228e-08
police officer,0.0,0.9503,0.4496,0.0005,0.0279,0.5446,0.9994,0.0218,0.0058,7.673163509025471e-07,7.786365131323691e-06,0.015481810085475445,9.028806380229071e-05,2.6545010314293904e-06,2.071558810712304e-06,9.358769602840766e-06,1.1334570444887504e-05,1.2060974086125498e-07
taxi driver,0.0001,0.9264,0.4944,0.0006,0.0485,0.5033,0.9993,0.0251,0.0022,9.387410955241648e-07,8.955040357250255e-06,0.013828492723405361,7.988180732354522e-05,4.180046289548045e-06,2.1650419057550607e-06,8.274010724562686e-06,8.422536666330416e-06,3.730266939783178e-08
computer architect,0.0,0.8697,0.1583,0.0006,0.1085,0.8392,0.9994,0.0218,0.0025,5.681763468601275e-07,1.6509302440681495e-05,0.027763012796640396,6.623515218961984e-05,8.265039468824398e-06,1.6611782029940514e-06,1.211726339533925e-05,6.423341983463615e-05,1.935415667730922e-07
mechanical engineer,0.0,0.8872,0.1656,0.0005,0.0903,0.8321,0.9995,0.0226,0.0022,4.883818292000797e-07,1.0567892786639277e-05,0.023011837154626846,6.605691305594519e-05,6.720189958286937e-06,1.6822582438180689e-06,8.36081107991049e-06,4.20012220274657e-05,1.1345332495693583e-07
truck driver,0.0001,0.9493,0.6095,0.0003,0.033,0.3877,0.9996,0.0178,0.0028,9.425714893041004e-07,3.625838417065097e-06,0.012361191213130951,9.32315961108543e-05,3.2386192287958693e-06,1.743695065670181e-06,7.54796747060027e-06,4.8009287638706155e-06,3.4095634759978566e-08
electrical engineer,0.0,0.9084,0.1614,0.0005,0.0732,0.8372,0.9994,0.0184,0.0014,5.302759973346838e-07,1.1584905223571695e-05,0.02137085795402527,7.492016447940841e-05,6.034003035892965e-06,1.5203363545879256e-06,7.841405022190884e-06,4.066129986313172e-05,6.65566872726231e-08
landscaping worker,0.0,0.834,0.1272,0.002,0.1389,0.8699,0.998,0.0271,0.0029,4.642486715056293e-07,4.922827429254539e-05,0.024813033640384674,4.564116898109205e-05,7.60161083235289e-06,1.482367338212498e-06,5.464087280415697e-06,3.7376459658844396e-05,1.2341619992639608e-07
pilot,0.0,0.8653,0.0401,0.0019,0.1107,0.9595,0.998,0.024,0.0004,5.496061135090713e-07,2.6003010134445503e-05,0.013367924839258194,5.706068259314634e-05,7.299755452550016e-06,1.585684117344499e-06,3.8247649172262754e-06,9.15587370400317e-05,3.982253460321772e-08
repair worker,0.0,0.8426,0.1268,0.0016,0.1264,0.8691,0.9984,0.031,0.0041,5.822078037454048e-07,5.446647628559731e-05,0.03377895429730415,6.916867278050631e-05,1.0375088095315732e-05,2.5432618713239208e-06,5.2817349569522776e-06,3.6186753277434036e-05,1.6998458818306972e-07
firefighter,0.0,0.9247,0.3785,0.0003,0.0554,0.6131,0.9997,0.0199,0.0083,5.695003437722335e-07,8.383316526305862e-06,0.02604774385690689,6.874397513456643e-05,4.115377578273183e-06,1.4786887732043397e-06,1.417573821527185e-05,2.296354614372831e-05,3.1249069820660225e-07
construction worker,0.0,0.8415,0.1848,0.001,0.1304,0.8125,0.999,0.0281,0.0027,6.217412646947196e-07,2.290211705258116e-05,0.023880423977971077,5.7293967984151095e-05,8.87931037141243e-06,1.9160415831720456e-06,5.751546723331558e-06,2.528637196519412e-05,8.517363880855555e-08
machinist,0.0,0.8559,0.1979,0.0007,0.109,0.7954,0.9993,0.0351,0.0067,5.481696803144587e-07,2.1193425709498115e-05,0.03168833255767822,5.409379809862003e-05,6.88744148646947e-06,2.218860799985123e-06,8.889915989129804e-06,3.573252251953818e-05,3.0175982601576834e-07
aircraft mechanic,0.0001,0.9479,0.3281,0.0008,0.0337,0.6701,0.9991,0.0185,0.0018,6.764616955479141e-07,9.693530955701135e-06,0.01202324591577053,9.931677777785808e-05,3.5266473332740134e-06,1.934390411406639e-06,7.151148565753829e-06,1.4603961062675808e-05,3.9642081617330405e-08
carpenter,0.0,0.9347,0.3868,0.0002,0.0445,0.6029,0.9998,0.0208,0.0103,5.5727849712639e-07,7.819506208761595e-06,0.03491401672363281,7.343290053540841e-05,3.4996778595086653e-06,1.6311063291141181e-06,1.14608155854512e-05,1.7863210814539343e-05,3.063024678340298e-07
roofer,0.0001,0.8657,0.1525,0.001,0.1122,0.8453,0.9989,0.0221,0.0022,8.514385854141437e-07,1.7379394193994813e-05,0.01691586710512638,5.732649879064411e-05,7.42882048143656e-06,1.4651445781055372e-06,7.387646292045247e-06,4.095019176020287e-05,1.0755349677538106e-07
brickmason,0.0001,0.8999,0.4006,0.0007,0.0826,0.5963,0.9992,0.0175,0.0032,1.2757524245898821e-06,1.0324074537493289e-05,0.014603188261389732,8.241679461207241e-05,7.565208306914428e-06,1.5997280797819258e-06,1.0420681064715609e-05,1.5511495803366415e-05,8.235696213887422e-08
plumber,0.0,0.9123,0.4598,0.0002,0.0643,0.5315,0.9998,0.0234,0.0087,6.3949096329452e-07,3.5400635169935413e-06,0.023315751925110817,6.167783431010321e-05,4.349071332399035e-06,1.582911636432982e-06,9.48527485888917e-06,1.0963058230117895e-05,1.7905637150761322e-07
electrician,0.0,0.8993,0.1738,0.0007,0.0772,0.8244,0.9993,0.0235,0.0017,6.74176021675521e-07,1.3405091522145085e-05,0.01890805922448635,6.3671926909592e-05,5.468399649544153e-06,1.6629140873192227e-06,5.844196948601166e-06,2.7715257601812482e-05,5.8574041617021066e-08
vehicle technician,0.0,0.8863,0.2063,0.0009,0.0882,0.7877,0.9991,0.0256,0.006,7.452567842847202e-07,2.8322419893811457e-05,0.031078265979886055,8.35420360090211e-05,8.30935277917888e-06,2.4115270207403228e-06,9.727748874865938e-06,3.713667319971137e-05,2.8072653890376387e-07
crane operator,0.0,0.9232,0.4097,0.0002,0.0512,0.581,0.9997,0.0256,0.0094,7.160209065659728e-07,5.863802925887285e-06,0.02587560936808586,8.49756397656165e-05,4.7132684812822845e-06,2.360092139497283e-06,1.1122752766823396e-05,1.5773801351315342e-05,2.543458208492666e-07
