job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
nutritionist,0.0,0.8405,0.0439,0.005,0.1328,0.9554,0.995,0.0268,0.0007,4.414017098497425e-07,0.00011970666673732921,0.023928724229335785,9.145512012764812e-05,1.444890040147584e-05,2.9116506539139664e-06,4.532840193860466e-06,9.862678416538984e-05,6.862933332740795e-08
maid,0.0,0.3551,0.0036,0.0477,0.6068,0.9961,0.9522,0.0381,0.0003,1.6560582594138396e-07,0.0002034388016909361,0.004060074221342802,2.5845425625448115e-05,4.4156156945973635e-05,2.7722262530005537e-06,1.7409999486517336e-07,4.8033572966232896e-05,1.49452201725353e-08
therapist,0.0,0.8815,0.1156,0.0015,0.0738,0.8823,0.9984,0.0447,0.0021,7.733231086604064e-07,5.218657315708697e-05,0.03361784294247627,0.0001090580626623705,9.127340490522329e-06,5.529089321498759e-06,8.174115464498755e-06,6.23681116849184e-05,1.4826485994490213e-07
social worker,0.0,0.8403,0.0309,0.0025,0.1111,0.966,0.9975,0.0486,0.0031,4.002633602340211e-07,0.00015665535465814173,0.06174563616514206,0.0001224363368237391,1.618389069335535e-05,7.081879630277399e-06,2.975483766931575e-06,9.299566590925679e-05,3.021267218628054e-07
sewer,0.0001,0.9429,0.2796,0.0003,0.0232,0.7096,0.9996,0.0339,0.0107,1.6544353229619446e-06,5.2766722546948586e-06,0.017190713435411453,0.00023413253074977547,5.753200639446732e-06,8.428532964899205e-06,2.8800250220228918e-05,7.308367639780045e-05,1.1032338989025448e-06
paralegal,0.0,0.9477,0.1466,0.0009,0.0155,0.8452,0.9991,0.0369,0.0082,1.030425551107328e-06,3.020364420081023e-05,0.033948689699172974,0.00015998266462702304,2.6087463993462734e-06,6.227384346857434e-06,7.126700438675471e-06,4.10789689340163e-05,3.9626263514946913e-07
library assistant,0.0,0.8819,0.043,0.0113,0.092,0.9559,0.9886,0.0261,0.0011,5.287553790367383e-07,0.0001781281753210351,0.015539120882749557,0.00013058244076091796,1.3620594472740777e-05,3.869398824463133e-06,3.153384341203491e-06,7.006803207332268e-05,8.045133625955714e-08
interior designer,0.0,0.9092,0.2308,0.0003,0.0453,0.7565,0.9997,0.0456,0.0127,5.886227540941036e-07,1.829224856919609e-05,0.07060594856739044,0.00012798812531400472,6.3730285546625964e-06,6.4144915086217225e-06,2.9708298825426027e-05,9.735478670336306e-05,1.6336464341293322e-06
manicurist,0.0,0.8596,0.1765,0.0025,0.0915,0.8188,0.9975,0.0489,0.0047,5.3383291742648e-07,0.00010320964793208987,0.04138122498989105,0.00010502409713808447,1.1174847713846248e-05,5.972709459456382e-06,7.666907549719326e-06,3.557144373189658e-05,2.0512209175649332e-07
special education teacher,0.0,0.795,0.0689,0.0102,0.1632,0.9302,0.9898,0.0418,0.0008,4.147977676893788e-07,0.0001711425429675728,0.016569634899497032,9.799974213819951e-05,2.011751348618418e-05,5.1582551350293215e-06,3.5323780593898846e-06,4.767119389725849e-05,4.341250203765412e-08
police officer,0.0001,0.9724,0.7787,0.0003,0.0037,0.2106,0.9996,0.0239,0.0108,1.2753536111631547e-06,4.858810370933497e-06,0.015204505994915962,0.00027575279818847775,1.0393415550424834e-06,6.777358521503629e-06,1.7537930034450255e-05,4.742325018014526e-06,2.4244062046818726e-07
taxi driver,0.0001,0.9754,0.8856,0.0002,0.004,0.1103,0.9997,0.0206,0.0041,1.4781804793528863e-06,2.9828192964487243e-06,0.01288409624248743,0.00027148245135322213,1.104200464396854e-06,5.732519639423117e-06,1.3622890037368052e-05,1.6964497717708582e-06,6.342045111296102e-08
computer architect,0.0,0.9721,0.5098,0.0003,0.012,0.4803,0.9996,0.0159,0.0099,9.954560482583474e-07,1.0360551641497295e-05,0.030252372846007347,0.00021123535407241434,2.59920807366143e-06,3.4585038974910276e-06,3.408494740142487e-05,3.211085277143866e-05,6.643884944423917e-07
mechanical engineer,0.0,0.9728,0.5255,0.0003,0.0071,0.463,0.9997,0.0201,0.0116,7.588284915982513e-07,7.016601557552349e-06,0.026166420429944992,0.00021370986360125244,1.5666973922634497e-06,4.418249318405287e-06,2.181553645641543e-05,1.9220296962885186e-05,4.806753963748633e-07
truck driver,0.0002,0.9826,0.9472,0.0001,0.0023,0.048,0.9997,0.0151,0.0047,1.6816353536341921e-06,1.426728204023675e-06,0.010585267096757889,0.000313351716613397,7.374300139417755e-07,4.827541488339193e-06,1.1722760973498225e-05,5.946629926256719e-07,5.859236296146264e-08
electrical engineer,0.0,0.9796,0.5392,0.0003,0.0053,0.4532,0.9997,0.0152,0.0076,7.9496220450892e-07,7.372732852672925e-06,0.023505104705691338,0.0002241041074739769,1.201107693304948e-06,3.4732404401438544e-06,1.9396344214328565e-05,1.6301612049574032e-05,2.723699878970365e-07
landscaping worker,0.0,0.9678,0.39,0.0011,0.0122,0.6025,0.9988,0.02,0.0075,8.962185233940545e-07,3.297032162663527e-05,0.028637398034334183,0.00020672903337981552,2.6118023015442304e-06,4.267280928615946e-06,1.6595617125858553e-05,2.5640531021053903e-05,3.179517875651072e-07
pilot,0.0001,0.9683,0.3737,0.0005,0.0081,0.624,0.9994,0.0236,0.0023,1.374992393721186e-06,7.768496288917959e-06,0.014653955586254597,0.00021952579845674336,1.8304164086657693e-06,5.361699550121557e-06,1.6525822502444498e-05,2.7596901418291964e-05,1.036710202129143e-07
repair worker,0.0,0.9606,0.44,0.0012,0.0137,0.5495,0.9988,0.0257,0.0105,1.4434854165301658e-06,4.094500036444515e-05,0.03529590740799904,0.00031283567659556866,4.459230240172474e-06,8.358315426448826e-06,1.916371547849849e-05,2.3934937416925095e-05,4.5526300596065994e-07
firefighter,0.0,0.9787,0.7491,0.0002,0.0051,0.2269,0.9998,0.0161,0.024,1.1378643876014394e-06,5.11077178089181e-06,0.027841588482260704,0.00025309144984930754,1.324701884186652e-06,4.171972705080407e-06,2.7781128665083088e-05,8.414594049099833e-06,8.909404982659908e-07
construction worker,0.0001,0.9658,0.6935,0.0005,0.0115,0.2984,0.9994,0.0227,0.0081,1.2294133284740383e-06,1.0632671546773054e-05,0.020723741501569748,0.00020388775737956166,2.4228322672570357e-06,4.790519597008824e-06,1.545698796689976e-05,6.650910563621437e-06,1.8134424806248717e-07
machinist,0.0,0.9453,0.4601,0.0005,0.0215,0.5198,0.9994,0.0332,0.0201,1.3606547781819245e-06,1.857774805102963e-05,0.03384660184383392,0.00017356191528961062,3.943304363929201e-06,6.094011496315943e-06,2.507129465811886e-05,2.83203389699338e-05,1.0962320402541081e-06
aircraft mechanic,0.0001,0.9817,0.7572,0.0005,0.0033,0.239,0.9993,0.015,0.0038,1.1214040114282398e-06,4.503640411712695e-06,0.008440054953098297,0.0002881712862290442,9.73988449004537e-07,4.39471978097572e-06,1.3089903404761571e-05,4.131856712774606e-06,6.545303676830372e-08
carpenter,0.0,0.9785,0.8224,0.0001,0.0041,0.1616,0.9998,0.0174,0.016,1.0107386287927511e-06,4.797085694008274e-06,0.03314900025725365,0.0001909124111989513,8.03717910002888e-07,3.3902906579896808e-06,2.6407744371681474e-05,5.188738214201294e-06,5.136527647664479e-07
roofer,0.0001,0.9702,0.4585,0.0007,0.0112,0.5327,0.9992,0.0186,0.0088,2.096272055496229e-06,1.3373964975471608e-05,0.019975358620285988,0.00023120969126466662,2.6669158614822663e-06,4.439066742634168e-06,1.7178763300762512e-05,1.9960125428042375e-05,3.2810376637826266e-07
brickmason,0.0002,0.9773,0.8025,0.0004,0.0065,0.1887,0.9995,0.0161,0.0089,3.0176538530213293e-06,6.855501851532608e-06,0.018103325739502907,0.00032542014378122985,2.1687064872821793e-06,5.375632554205367e-06,2.1303625544533134e-05,5.008319476473844e-06,2.356277377657534e-07
plumber,0.0,0.9658,0.8862,0.0001,0.0072,0.0786,0.9999,0.027,0.0352,1.2029322533635423e-06,1.9464239358057966e-06,0.02908722497522831,0.00018125206406693906,1.3501288549377932e-06,5.061083356849849e-06,2.4451250283163972e-05,2.169443405364291e-06,9.70049995885347e-07
electrician,0.0,0.9704,0.4789,0.0004,0.0072,0.5136,0.9996,0.0224,0.0075,9.317830063082511e-07,9.264917935070116e-06,0.024151336401700974,0.000181698749656789,1.3552127029470284e-06,4.192797860014252e-06,1.4317812201625202e-05,1.5356668882304803e-05,2.2340729799452674e-07
vehicle technician,0.0,0.9792,0.4369,0.0009,0.0066,0.5469,0.9991,0.0142,0.0163,1.395824824612646e-06,2.8536986064864323e-05,0.0316094309091568,0.00038309727096930146,2.576881342974957e-06,5.5551345212734304e-06,2.6732615879154764e-05,3.3464020816609263e-05,9.949654895535787e-07
crane operator,0.0001,0.9756,0.8054,0.0001,0.0037,0.1676,0.9998,0.0207,0.027,1.3285776958582574e-06,2.4393441435677232e-06,0.021087627857923508,0.00027503332239575684,1.035934133142291e-06,5.844391125719994e-06,2.0484909327933565e-05,4.263186383468565e-06,6.859827976768429e-07
